GeneSymbol	counts
WARS2-AS1	0
HAO2	0
HAO2-IT1	0
HSD3B2	0
HSD3B1	0
HSD3BP4	45
LINC00622	54
ZNF697	102
PHGDH	71
HMGCS2	1
REG4	0
NBPF7P	0
ADAM30	2
NOTCH2	40
SEC22B	2185
NA	0
NBPF8	595
PFN1P2	51
PDE4DIPP2	205
NOTCH2NLR	13
NBPF26	873
TRN-GTT2-1	0
RNVU1-19	0
PPIAL4A	21
LINC00623	75
RNVU1-4	0
TRN-GTT11-2	0
LOC105369199	0
NA	0
NA	0
PDE4DIPP4	0
FCGR1BP	7
LOC100996318	0
H2BP1	7
FAM72B	0
SRGAP2C	28
SRGAP2-AS1	0
EMBP1	34
LOC101929815	0
TRQ-CTG4-2	0
RNVU1-17	0
RNVU1-18	5
TRN-GTT6-1	0
LOC105369140	0
LINC02591	0
TRV-CAC8-1	0
TRV-CAC4-1	0
PDE4DIPP3	0
TRN-GTT12-1	0
FCGR1CP	3
NA	0
FAM72C	1
SRGAP2D	42
LOC101060524	0
PPIAL4E	6
RNVU1-15	0
TRN-GTT3-1	0
NBPF15	1239
TRN-GTT2-8	0
PPIAL4F	6
LOC105371215	0
DRD5P2	0
LSP1P5	0
SRGAP2B	97
FAM72D	0
LOC101929805	0
NA	0
LINC01145	64
PPIAL4D	4
RNVU1-14	0
TRN-GTT2-7	0
NBPF20	93
NA	0
PDE4DIPP5	0
NBPF25P	8
GPR89A	76
PDZK1	0
CD160	9
RNF115	715
POLR3C	660
NUDT17	158
PIAS3	992
MIR6736	0
ANKRD35	0
ITGA10	5
PEX11B	190
GNRHR2	33
RBM8A	2
LIX1L	826
POLR3GL	12
ANKRD34A	0
TXNIP	1341
HJV	0
TRE-CTC1-1	0
TRG-TCC2-1	0
TRH-GTG1-1	0
TRK-CTT2-1	1
RNVU1-6	0
LINC01719	0
NBPF10	62
NOTCH2NLA	796
NUDT4P2	1049
PPIAL4H	81
NA	0
HYDIN2	37
NA	0
NBPF12	479
LOC728989	21
TRH-GTG1-2	0
RNVU1-8	0
NBPF13P	0
PRKAB2	37
PDIA3P1	5216
FMO5	334
CHD1L	28
LINC00624	0
BCL9	192
ACP6	2
GJA5	1
GJA8	0
GPR89B	49
PDZK1P1	0
TRQ-CTG3-2	0
RNVU1-7	1
TRN-GTT9-2	0
NBPF11	186
LOC101927468	0
TRQ-CTG4-1	0
TRH-GTG1-3	0
TRH-GTG1-4	0
TRQ-CTG7-1	0
MIR5087	0
RNVU1-1	0
MIR6077	0
RNVU1-2	0
PDE4DIPP6	0
RNVU1-3	0
LINC01138	80
PPIAL4G	15
NBPF14	71
NOTCH2NLB	742
NUDT4B	1077
PDE4DIP	310
NBPF9	323
LOC653513	0
NA	0
NBPF19	2283
PPIAL4C	21
LINC00869	99
LOC644634	0
TRV-CAC1-7	0
PDE4DIPP7	0
TRN-GTT8-1	0
H2BC18	5
FCGR1A	3
NA	0
H3C13	120
H4C14	1
